model,split_name,p_value,relation,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,fit_time_mean_s,predict_time_mean_s,runs
tabicl,evidence,0.8,overall,0.5416698470685649,0.05414018988922625,0.9413462864368414,0.009598321114136504,0.4494030942027661,0.043911276341419093,0.7515744096978345,0.3223080496095812,0.9805175923233499,0.49443258551182223,2.9838110394775867,10
tabpfn,evidence,0.8,overall,0.4210706081669874,0.06241784118927739,0.9064560900659224,0.010510892053300585,0.295251519572699,0.052044632839203187,0.7694834307992202,0.18508109413823054,0.9782204129107299,1.768008914089296,6.402841766900383,10
tabicl,evidence,0.4,overall,0.45888542416469597,0.016841868581543087,0.9264712663171435,0.007475010883691748,0.37602540021100467,0.022015234239875565,0.7360085199434081,0.25342273999434395,0.9793113476414821,0.41702409971039744,1.880442529101856,10
tabpfn,evidence,0.4,overall,0.3538265868411346,0.02890884287424921,0.8691749832427211,0.013558717200063047,0.1487277052363035,0.09237174625344798,0.7607279952373791,0.08621632036708766,0.9767405339382307,1.1904567913967186,4.2574437080184,10
tabicl,evidence,0.2,overall,0.34421286972228793,0.017648051434505076,0.8710881463089356,0.008967524601068507,0.2071337704929022,0.08164620629025113,0.6857628423757742,0.12511245919953887,0.9768923971749064,0.4088109975098632,1.4156226160936058,10
tabpfn,evidence,0.2,overall,0.19569519219245116,0.0550033415147756,0.7990869797441336,0.014549549618453941,0.0010086105775679757,0.0022581275635811153,0.1,0.0005068619536385653,0.9751724137931035,0.8967865209910088,3.4081489881151357,10
tabicl,evidence,0.1,overall,0.26497259519419913,0.01986370076769473,0.7956609864993942,0.012498976345996926,0.10473004226366094,0.07969774873286452,0.6596935467460996,0.05958187431457738,0.9760478388890907,0.3929112319019623,1.2225936486967839,10
tabpfn,evidence,0.1,overall,0.16240168074883063,0.042945440350666775,0.7575079184318232,0.021065394958770942,0.0,0.0,0.0,0.0,0.9753462503180778,0.7384575139847585,3.0383280706009828,10
tabicl,family,0.8,overall,0.5345507069823509,0.12117817870556234,0.952334342670707,0.02347710818582314,0.44607418268708593,0.12386290444569362,0.7231746031746031,0.3364955950482266,0.9804949053857351,0.5225618113996461,3.451273014489561,10
tabpfn,family,0.8,overall,0.31518364100458063,0.14326447975200765,0.9015496645719769,0.0423166314368931,0.07333333333333333,0.08689113065846032,0.4166666666666667,0.04096577227382181,0.9758369723435226,2.0066409230115823,7.329409385821782,10
tabicl,family,0.4,overall,0.4466884290547558,0.030923241732314435,0.8989695116627384,0.020305993784126352,0.3964651108333468,0.03918513186382681,0.7058289281027885,0.2782399522653555,0.9791157649796393,0.5125792444916442,3.2163545540068297,10
tabpfn,family,0.4,overall,0.2999885150236988,0.053600426868385176,0.8417800580555935,0.016864407520955936,0.10675635998773705,0.06310037011807171,0.5948260073260073,0.06026583705905823,0.9756544502617801,1.87169260479277,6.844407703611068,10
tabicl,family,0.2,overall,0.3569733229332985,0.03485135059637219,0.8587975449178774,0.034846905158509384,0.3125868772460209,0.1210046080187878,0.6945923051043047,0.21385671044272042,0.9778147071042792,0.5334984910092316,3.0737823173985817,10
tabpfn,family,0.2,overall,0.20384271158748643,0.06112021403978971,0.8132328517308377,0.02671646232789039,0.018184403146063642,0.02395339984409221,0.355,0.009389348025711662,0.975321977565434,1.8185628185747191,6.586612776701804,10
tabicl,family,0.1,overall,0.2954739614171879,0.04565697750045008,0.7965015530282391,0.02784774594102798,0.20986263964452084,0.08761132998130028,0.7105221330956625,0.1306198049985317,0.9768042174150156,0.504035590402782,3.0026585744926706,10
tabpfn,family,0.1,overall,0.16646542484375404,0.04270364979163078,0.7457658797202387,0.024216217737499986,0.034696811658753525,0.041334080481291356,0.4690384615384615,0.018478430773090408,0.9755499000181785,1.8027894613100215,6.485105246002786,10
tabicl,family,0.0,overall,0.04396236841510267,0.0007766352203829283,0.7010771545639537,0.005082957362213447,0.0,0.0,0.0,0.0,0.9755049280982387,0.5111820535734296,2.9471062529832124,10
tabpfn,family,0.0,overall,0.02127053287048001,0.0005520559918119463,0.4538645979886973,0.00852654115004346,0.0,0.0,0.0,0.0,0.9755049280982387,1.7718748611980117,6.354720532696229,10
tabicl,random,0.8,overall,0.4742154522362962,0.03518841489374559,0.9482881437212345,0.006402030565855321,0.38017200060191875,0.019201641709238302,0.743856921929111,0.25607945576122193,0.9795863909272848,0.4325420434237458,2.7406284972094,10
tabpfn,random,0.8,overall,0.37015018950829603,0.041077077001836514,0.9169768973161274,0.006574839649347813,0.23156253160462295,0.0505485432798122,0.7115017048169222,0.13929066720171487,0.9775405826106294,1.7044177830801346,5.9276918801595455,10
tabicl,random,0.4,overall,0.4017373630431867,0.020635968351296937,0.9143151009909346,0.010145546048805656,0.32057575525702325,0.02707476022606266,0.7268643737244749,0.20641736925608076,0.9789930169461372,0.4072720436146483,1.440581554779783,10
tabpfn,random,0.4,overall,0.33457461522473464,0.020467098370844386,0.888666514317021,0.012478044821996818,0.23520485318022252,0.04823290148223353,0.7089456451381648,0.14209657508864312,0.977938887159187,0.925169165211264,3.424769145587925,10
tabicl,random,0.2,overall,0.30797717054218887,0.021658514502304087,0.8607420836502244,0.013009243130129744,0.2049824033491087,0.04767178836085344,0.6968908891287239,0.12165784138158789,0.9773764137755749,0.37177776300814,0.9616042192908936,10
tabpfn,random,0.2,overall,0.24465152275431654,0.03274703236103348,0.8095517596870645,0.014562574917012908,0.02904509691864421,0.05403228278706175,0.4232319860824534,0.015908933693903185,0.9759562841530055,0.5391626520780847,2.4996559908031486,10
tabicl,random,0.1,overall,0.21313410969072732,0.027289571463464495,0.7836621292839105,0.02036066600243079,0.11473593560043863,0.06612983319756971,0.6524826176037652,0.06466506449119035,0.9766574931198398,0.38069999023573475,0.7415975442971103,10
tabpfn,random,0.1,overall,0.1206695504172967,0.04765363450825841,0.6813084174992252,0.037083775702851186,0.0020713463751438435,0.005786888274843456,0.09166666666666666,0.0010490958512353213,0.9759069301976483,0.3512574409949593,2.129884974111337,10
